url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352084,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1091136,"AR, BO, BR, CL, CO, CR, GT, MX, NL, PE, SV, UY"
,Scoop,movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,88429,"FR, MC"
,"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,148482,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,381733,"BA, BG, HN, HR, HU, MD, ME, MK, SI, SK, US"
,Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,60702,"AG, BB, BS, HN, NI, TT"
,Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,733904,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18319,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14554,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,184556,"AG, BB, BS, HN, NI, TT, US"
,Basquiat,movie,"Biography, Drama",1996,tt0115632,6.9,22435,"HN, US"
,Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,899886,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,726565,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,652221,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
